fold,auc,rec,pre
0,0.5915704362688169,0.5106382978723404,0.13114754098360656
1,0.7699720464910991,0.8571428571428571,0.17647058823529413
2,0.8288032783089851,0.9361702127659575,0.2558139534883721
3,0.4911319528275606,0.3305785123966942,0.11428571428571428
4,0.731129772483156,0.7662337662337663,0.17251461988304093
5,0.7959036268895423,0.7619047619047619,0.2895927601809955
6,0.565892298948565,0.5108695652173914,0.1189873417721519
7,0.6990078963352906,0.7454545454545455,0.20812182741116753
8,0.4644194756554307,0.3333333333333333,0.09774436090225563
9,0.7397595770151636,0.8303571428571429,0.2285012285012285
10,0.7420723340081247,0.8033707865168539,0.35135135135135137
11,0.6758284870303701,0.7391304347826086,0.08521303258145363
12,0.6253817554109681,0.5882352941176471,0.1671309192200557
13,0.6612801347510264,0.639751552795031,0.2821917808219178
14,0.7447914009218157,0.8489208633093526,0.2796208530805687
15,0.6728285980277222,0.6985294117647058,0.2398989898989899
16,0.7626473063973064,0.9037037037037037,0.2681318681318681
17,0.7124799452623631,0.8020833333333334,0.1878048780487805
18,0.6020593405804902,0.6380368098159509,0.21894736842105264
19,0.7360295790671216,0.86,0.20140515222482436
20,0.6613526149199989,0.717948717948718,0.24295010845986983
21,0.477646708961142,0.4072164948453608,0.17362637362637362
22,0.642667674546454,0.5411764705882353,0.2958199356913183
23,0.5948507932871299,0.379746835443038,0.2631578947368421
24,0.6601633393829401,0.7413793103448276,0.1799163179916318
25,0.5015646540423049,0.25984251968503935,0.1213235294117647
26,0.6658321199853214,0.5747126436781609,0.17482517482517482
27,0.8259501480750246,0.875,0.13409961685823754
28,0.6131805387587358,0.39461883408071746,0.38427947598253276
29,0.46453148735306404,0.21161825726141079,0.18149466192170818
30,0.7379500188913478,0.7010309278350515,0.24028268551236748
31,0.6082874377130868,0.45528455284552843,0.2014388489208633
32,0.5075352593266605,0.18471337579617833,0.16022099447513813
33,0.7626511455666651,0.7313432835820896,0.3391003460207612
34,0.5745371122299822,0.3969465648854962,0.1824561403508772
35,0.7802330397107312,0.8432835820895522,0.29894179894179895
36,0.6554674232086937,0.5728155339805825,0.18553459119496854
37,0.7041642843529635,0.6515151515151515,0.27044025157232704
38,0.670385982312588,0.5945945945945946,0.20952380952380953
39,0.6802628639511504,0.6538461538461539,0.10089020771513353
40,0.540017825311943,0.35454545454545455,0.2468354430379747
41,0.48066190604425707,0.24778761061946902,0.09302325581395349
42,0.7178917832129207,0.6808510638297872,0.21333333333333335
43,0.7459041515742548,0.7567567567567568,0.24633431085043989
44,0.6657704609896887,0.576036866359447,0.37202380952380953
45,0.5242979242979243,0.36923076923076925,0.13675213675213677
46,0.6562579875607055,0.5702479338842975,0.21630094043887146
47,0.6366897640557846,0.49230769230769234,0.3333333333333333
48,0.5842507253797576,0.3862433862433862,0.2786259541984733
49,0.479314603272615,0.20253164556962025,0.0625
